YEAR,STATE GEO,COUNTY GEO,COUNTY NAME,CITY/TOWN GEOID,CITY/TOWN NAME,NO. OF RENTER HOUSEHOLDS,NO. OF ELI HOUSEHOLDS,NO. OF ELI RENT BURDENED (30%),NO. OF ELI SEVERELY RENT BURDENED (50%),UNITS: AFFORDABLE,NO. UNITS: AFFORDABLE AND OCCUPIED BY ELI,NO. UNITS: AFFORDABLE AND VACANT,NO. UNITS: AFFORDABLE AND OCCUPIED BY VLI,NO. UNITS: AFFORDABLE AND OCCUPIED BY LI,NO. UNITS: AFFORDABLE AND OCCUPIED BY HI,NO. UNITS: AFFORDABLE AND AVAILABLE,AA UNITS PER 100 ELI HOUSEHOLDS,NO. OF TOTAL AA SUBSIDIZED UNITS,MARKET AA UNITS PER 100 ELI HOUSEHOLDS
2016,25,17,Middlesex County,35425,Lincoln ,897.3,157.3,128.1,98.3,119.1,67.5,3.1,11.2,13.9,26.6,70.6,44.9,3.6,42.6
2016,25,17,Middlesex County,35950,Littleton ,594.0,133.2,91.0,69.8,128.2,70.2,0.0,27.3,4.4,26.3,70.2,52.7,70.8,0.0
2016,25,13,Hampden County,36300,Longmeadow ,534.7,169.6,125.8,86.5,114.6,77.6,0.0,12.9,7.3,16.8,77.6,45.8,129.6,0.0
2016,25,17,Middlesex County,37000,Lowell ,22203.0,7850.0,6532.0,5195.0,4493.0,3173.0,240.0,434.0,349.0,537.0,3413.0,43.5,3544.6,0.0
2016,25,13,Hampden County,37175,Ludlow ,2060.3,653.5,484.7,333.5,441.7,299.1,21.2,49.7,28.3,64.6,320.2,49.0,49.9,41.4
2016,25,27,Worcester County,37420,Lunenburg ,833.8,258.4,220.9,159.4,152.9,100.3,0.0,24.9,12.3,15.4,100.3,38.8,51.3,18.9
2016,25,9,Essex County,37490,Lynn ,18010.5,7098.0,5471.3,4040.6,4396.0,3228.7,53.7,529.5,140.3,497.6,3282.3,46.2,3437.6,0.0
2016,25,9,Essex County,37560,Lynnfield ,659.1,167.2,128.5,108.8,120.1,65.5,0.0,19.3,17.5,17.8,65.5,39.2,16.3,29.4
2016,25,17,Middlesex County,37875,Malden ,13573.8,3215.2,2385.6,1818.4,2365.8,1603.8,0.0,195.9,104.4,461.7,1603.8,49.9,1568.5,1.1
2016,25,9,Essex County,37995,Manchester-by-the-Sea ,671.2,202.9,162.7,114.2,141.8,94.8,0.0,22.5,8.3,16.1,94.8,46.7,2.7,45.4
2016,25,5,Bristol County,38225,Mansfield ,2381.9,590.9,495.0,336.2,453.2,274.0,0.0,69.3,57.3,52.6,274.0,46.4,50.2,37.9
2016,25,9,Essex County,38400,Marblehead ,1779.8,538.0,431.4,302.9,375.9,251.5,4.5,59.7,22.1,42.6,256.0,47.6,16.2,44.6
2016,25,23,Plymouth County,38540,Marion ,413.6,109.6,81.7,64.4,92.1,48.7,4.4,19.4,9.5,14.5,53.1,48.4,26.4,24.3
2016,25,17,Middlesex County,38715,Marlborough ,7002.1,1807.5,1480.4,1166.0,1042.9,684.7,15.6,150.7,91.5,116.0,700.3,38.7,424.0,15.3
2016,25,23,Plymouth County,38855,Marshfield ,2135.7,583.4,474.2,368.8,401.7,219.5,17.2,68.7,23.6,89.9,236.6,40.6,154.1,14.1
2016,25,1,Barnstable County,39100,Mashpee,1059.3,254.5,199.4,152.1,242.2,107.4,40.8,33.7,31.7,69.4,148.1,58.2,49.3,38.8
2016,25,23,Plymouth County,39450,Mattapoisett ,460.0,121.9,90.8,71.6,102.4,54.1,6.3,21.6,10.6,16.1,60.5,49.6,3.6,46.7
2016,25,17,Middlesex County,39625,Maynard ,1251.9,280.8,191.7,147.1,270.1,147.9,0.0,57.6,9.3,55.3,147.9,52.7,151.2,0.0
2016,25,21,Norfolk County,39765,Medfield ,476.4,113.1,92.2,74.8,89.8,46.3,0.0,19.7,10.5,13.3,46.3,40.9,40.0,5.6
2016,25,17,Middlesex County,39835,Medford ,9709.2,2299.8,1706.4,1300.6,1692.2,1147.2,0.0,140.1,74.6,330.3,1147.2,49.9,758.8,16.9
2016,25,21,Norfolk County,39975,Medway ,683.4,162.2,132.3,107.3,128.9,66.4,0.0,28.3,15.1,19.2,66.4,40.9,11.0,34.2
2016,25,17,Middlesex County,40115,Melrose ,3858.6,921.4,729.8,557.2,690.3,438.2,12.3,93.7,88.3,70.0,450.6,48.9,283.8,18.1
2016,25,27,Worcester County,40255,Mendon ,239.5,73.7,63.1,39.4,62.2,28.4,0.0,15.3,3.7,14.8,28.4,38.5,0.4,37.9
2016,25,9,Essex County,40430,Merrimac ,349.7,70.9,41.9,37.6,65.4,36.5,10.6,10.8,6.5,11.6,47.1,66.4,26.3,29.4
2016,25,9,Essex County,40710,Methuen  ,5142.3,1804.0,1510.3,1192.6,921.4,672.0,21.9,133.4,35.1,80.9,693.9,38.5,323.8,20.5
2016,25,23,Plymouth County,40850,Middleborough ,1688.9,449.5,363.9,288.6,381.0,166.0,16.9,104.7,27.9,82.4,182.9,40.7,109.5,16.3
2016,25,9,Essex County,41095,Middleton ,422.7,110.2,64.9,57.2,82.1,54.3,10.6,9.5,8.2,10.1,64.9,58.9,37.7,24.7
2016,25,27,Worcester County,41165,Milford ,3601.8,968.4,776.0,604.4,720.2,410.4,0.0,127.0,14.9,167.9,410.4,42.4,200.7,21.7
2016,25,27,Worcester County,41340,Millbury ,1434.7,328.8,275.9,168.7,277.2,153.1,28.4,46.5,27.4,50.2,181.6,55.2,14.0,51.0
2016,25,21,Norfolk County,41515,Millis ,577.9,137.2,111.9,90.7,109.0,56.1,0.0,23.9,12.7,16.2,56.1,40.9,21.3,25.4
2016,25,27,Worcester County,41585,Millville ,245.6,75.6,64.7,40.4,63.8,29.2,0.5,15.7,3.8,15.2,29.7,39.3,12.2,23.1
2016,25,21,Norfolk County,41690,Milton ,1583.6,402.1,333.5,268.2,234.1,158.0,0.6,27.1,16.7,32.3,158.6,39.5,151.7,1.7
2016,25,13,Hampden County,42145,Monson ,614.2,176.9,145.6,97.9,132.8,79.1,0.0,14.2,11.1,28.4,79.1,44.7,2.2,43.4
2016,25,11,Franklin County,42285,Montague ,1503.9,371.9,294.6,224.4,275.8,154.5,1.9,56.6,22.0,42.6,156.5,42.1,211.6,0.0
2016,25,3,Berkshire County,42460/71095,Monterey/Tyringham,95.8,31.3,25.1,17.3,24.2,13.8,0.1,4.3,2.4,3.7,13.9,44.3,0.4,42.9
2016,25,9,Essex County,43580,Nahant ,505.8,199.4,153.7,113.5,123.5,90.7,0.9,14.9,3.9,14.0,91.6,45.9,5.4,43.2
2016,25,19,Nantucket County,43790,Nantucket ,1407.0,400.2,307.0,215.0,349.3,196.8,20.4,43.2,47.0,62.3,217.3,54.3,26.7,47.6
2016,25,17,Middlesex County,43895,Natick ,3847.0,993.1,813.3,640.6,573.0,376.2,10.8,82.8,50.3,63.8,387.0,39.0,246.6,14.1
2016,25,21,Norfolk County,44105,Needham ,1784.7,430.8,268.2,196.4,556.4,276.3,0.0,60.2,50.2,169.7,276.3,64.1,171.2,24.4
2016,25,5,Bristol County,45000,New Bedford ,23006.1,6456.4,5498.9,4214.5,5680.9,2539.1,202.5,1496.2,576.7,1068.9,2741.6,42.5,2170.6,8.8
