town,percent
Plymouth ,0.27319639581527544
Plympton ,0.26599568655643424
Princeton ,0.20958512160228898
Province ,0.2336894001643385
Quincy ,0.2538970854159518
Randolph ,0.29282158763426774
Raynham ,0.3130495342561156
Reading ,0.25368623977491794
Rehoboth ,0.1815239776404825
Revere ,0.3192207541710869
Rochester ,0.26484254001032526
Rockland ,0.21691484899328858
Rockport ,0.3023187555033754
Rowley ,0.3023433520122262
Royalston,0.20964360587002095
Winchendon,0.20964360587002095
Rutland ,0.2290760174046583
Salem ,0.3022704344298953
Salisbury ,0.30230525510761497
Sandwich ,0.2403324900614384
Saugus ,0.238772003158237
Scituate ,0.27313432835820894
Seekonk ,0.18143754361479414
Sharon ,0.2320280537697253
Sheffield ,0.3267646005016123
Sherborn ,0.24137931034482757
Shirley ,0.23651284810978074
Shrewsbury ,0.14765022889262328
Somerset ,0.3431113792323354
Somerville ,0.21445700907117604
South Hadley ,0.28798615243143827
Southampton ,0.28808330119552644
Southborough ,0.26895206243032327
Southbridge  ,0.20344792565886355
Southwick ,0.3416333185119312
Spencer ,0.22915526363802227
Springfield ,0.4956864595268585
Sterling ,0.20964061608670848
Stockbridge ,0.32662990593577684
Stoneham ,0.23878345351959687
Stoughton ,0.4036175185448633
Stow ,0.2244408945686901
Sturbridge ,0.20339492263782485
Sudbury ,0.22420933734939755
Sunderland,0.24732289950576605
Whately,0.24732289950576605
Sutton ,0.20356564019448944
Swampscott ,0.3941167040718179
Swansea ,0.18148614609571787
Taunton ,0.2480529373642741
Templeton ,0.20950933564915328
Tewksbury ,0.17994081317550178
Tisbury ,0.23370535714285715
Townsend ,0.236493374108053
Truro ,0.23347398030942337
Tyngsborough ,0.2184554324458409
Upton ,0.21204081632653063
Uxbridge ,0.20348837209302326
Wakefield ,0.238791567695962
Walpole ,0.23204561470946247
Waltham ,0.1752652854977261
Ware ,0.2880052364588447
Wareham ,0.3144916888603177
Warren ,0.22911370954075577
Watertown,0.14511470539693017
Wayland ,0.24137377627989087
Webster ,0.20344861758002178
Wellesley ,0.2413614598162288
Wellfleet ,0.23385826771653542
Wenham ,0.2608695652173913
West Boylston ,0.2290842713720718
West Bridgewater ,0.18055982774530913
West Brookfield ,0.22926722246599385
West Newbury ,0.20282413350449294
West Springfield  ,0.34160672239863477
West Stockbridge ,0.327683615819209
Westborough ,0.14767822592647714
Westfield ,0.3415962441314554
Westford ,0.21843420322043308
Westhampton ,0.2884927066450567
Westminster ,0.3099248509976678
Weston ,0.24132004125128914
Westport ,0.23805716570057964
Westwood ,0.24137487126673535
Weymouth  ,0.27456822480744747
Whitman ,0.18044206296048224
Wilbraham ,0.3171900826446281
Williams ,0.3266995701321445
Wilmington ,0.2028245703590267
Winchendon ,0.20953678474114443
Winchester ,0.14512152166255726
Winthrop  ,0.3192033788574776
Woburn ,0.23877788422061036
Worcester ,0.3437221507079909
Wrentham ,0.23201151263191558
Yarmouth ,0.23374640020944237
