year,date,country,province,confirm,dead,heal,confirm_add,confirm_cuts,dead_cuts,now_confirm_cuts,heal_cuts,newConfirm,newHeal,newDead,description,wzz,wzz_add,_mtime,dateId
2020,03.26,中国,湖北,67801,3174,61731,0,,,,,0,530,5,,0,0,2020-03-26T00:09:31Z,2020-03
2020,03.27,中国,湖北,67801,3177,62098,0,,,,,0,367,3,,0,0,2020-03-27T00:26:32Z,2020-03
2020,03.28,中国,湖北,67801,3177,62565,0,,,,,0,467,0,,0,0,2020-03-27T23:25:00Z,2020-03
2020,03.29,中国,湖北,67801,3186,62882,0,,,,,0,317,9,,0,0,2020-03-28T23:58:37Z,2020-03
2020,03.30,中国,湖北,67801,3187,63153,0,,,,,0,271,1,,0,0,2020-03-30T00:29:05Z,2020-03
2020,03.31,中国,湖北,67802,3193,63326,1,,,,,1,173,6,,0,0,2020-03-31T00:14:33Z,2020-03
2020,04.01,中国,湖北,67802,3199,63471,0,,,,,0,145,6,,0,0,2020-04-01T04:48:16Z,2020-04
2020,04.02,中国,湖北,67802,3203,63612,0,,,,,0,141,4,,0,0,2020-04-02T06:55:54Z,2020-04
2020,04.03,中国,湖北,67803,3207,63762,1,,,,,1,150,4,,0,0,2020-04-03T02:52:46Z,2020-04
2020,04.04,中国,湖北,67803,3210,63945,0,,,,,0,183,3,,0,0,2020-04-04T00:35:47Z,2020-04
2020,04.05,中国,湖北,67803,3212,64014,0,,,,,0,69,2,,0,0,2020-04-05T00:06:06Z,2020-04
2020,04.06,中国,湖北,67803,3212,64073,0,,,,,0,59,0,,0,0,2020-04-06T00:50:07Z,2020-04
2020,04.07,中国,湖北,67803,3213,64142,0,,,,,0,69,1,,0,0,2020-04-07T01:00:27Z,2020-04
2020,04.08,中国,湖北,67803,3215,64187,0,,,,,0,45,2,,0,0,2020-04-08T00:25:10Z,2020-04
2020,04.09,中国,湖北,67803,3216,64236,0,,,,,0,49,1,,0,0,2020-04-09T00:01:04Z,2020-04
2020,04.10,中国,湖北,67803,3219,64264,0,,,,,0,28,3,,0,0,2020-04-09T23:43:00Z,2020-04
2020,04.11,中国,湖北,67803,3219,64281,0,,,,,0,17,0,,0,0,2020-04-11T01:12:55Z,2020-04
2020,04.12,中国,湖北,67803,3221,64338,0,,,,,0,57,2,,0,0,2020-04-12T00:15:17Z,2020-04
2020,04.13,中国,湖北,67803,3221,64363,0,,,,,0,25,0,,0,0,2020-04-13T00:53:39Z,2020-04
2020,04.14,中国,湖北,67803,3222,64402,0,,,,,0,39,1,,0,0,2020-04-14T01:42:54Z,2020-04
2020,04.15,中国,湖北,67803,3222,64435,0,,-1290,,965,0,33,0,,0,0,2020-04-15T00:51:50Z,2020-04
2020,04.16,中国,湖北,68128,4512,63487,0,,,,,0,17,0,,0,0,2020-04-16T01:11:08Z,2020-04
2020,04.17,中国,湖北,68128,4512,63494,0,,,,,0,7,0,,0,0,2020-04-17T01:47:31Z,2020-04
2020,04.18,中国,湖北,68128,4512,63507,0,,,,,0,13,0,,0,0,2020-04-18T00:23:21Z,2020-04
2020,04.19,中国,湖北,68128,4512,63511,0,,,,,0,4,0,,0,0,2020-04-19T01:16:56Z,2020-04
2020,04.20,中国,湖北,68128,4512,63511,0,,,,,0,0,0,,0,0,2020-04-20T00:48:50Z,2020-04
2020,04.21,中国,湖北,68128,4512,63519,0,,,,,0,8,0,,0,0,2020-04-21T00:39:18Z,2020-04
2020,04.22,中国,湖北,68128,4512,63547,0,,,,,0,28,0,,0,0,2020-04-22T02:09:30Z,2020-04
2020,04.23,中国,湖北,68128,4512,63569,0,,,,,0,22,0,,0,0,2020-04-23T01:16:59Z,2020-04
2020,04.24,中国,湖北,68128,4512,63593,0,,,,,0,24,0,,0,0,2020-04-25T00:07:36Z,2020-04
